Count,Serial No.,Image Name,Annotations,X,Y,R,G,B,Grayscale,Hex,Prediction,CountBlue,CountBrown,Image Name.1,browntype,FinalPred,CountW,CountM,CountS,CountN
531,24,1462.png,28,95,78,32,26,25,0.1066780388355255,#201a19,Brown,,463.0,1462.png,0.0,S,,,224.0,
532,24,1462.png,28,85,102,56,42,26,0.1718486249446869,#382a1a,Brown,,464.0,1462.png,0.0,S,,,225.0,
533,24,1462.png,28,72,131,53,30,25,0.1353999972343445,#351e19,Brown,,465.0,1462.png,0.0,S,,,226.0,
534,24,1462.png,28,121,105,108,90,87,0.3670929670333862,#6c5a57,Brown,,466.0,1462.png,2.0,M,,199.0,,
535,24,1462.png,28,122,119,61,44,33,0.1836054921150208,#3d2c21,Brown,,467.0,1462.png,0.0,S,,,227.0,
536,24,1462.png,28,54,122,40,25,28,0.1113874539732933,#28191c,Brown,,468.0,1462.png,0.0,S,,,228.0,
537,24,1462.png,28,59,130,55,32,23,0.1421121656894684,#372017,Brown,,469.0,1462.png,0.0,S,,,229.0,
538,24,1462.png,28,48,133,43,31,25,0.1298721581697464,#2b1f19,Brown,,470.0,1462.png,0.0,S,,,230.0,
539,24,1462.png,28,65,141,91,48,34,0.2201101928949356,#5b3022,Brown,,471.0,1462.png,0.0,S,,,231.0,
540,24,1462.png,28,122,60,74,45,36,0.1980925500392914,#4a2d24,Brown,,472.0,1462.png,0.0,S,,,232.0,
541,24,1462.png,28,54,72,96,82,91,0.335779994726181,#60525b,Brown,,473.0,1462.png,2.0,M,,200.0,,
542,24,1462.png,28,54,2,52,34,29,0.1469196081161499,#34221d,Brown,,474.0,1462.png,0.0,S,,,233.0,
543,24,1462.png,28,70,19,76,47,30,0.2036737352609634,#4c2f1e,Brown,,475.0,1462.png,0.0,S,,,234.0,
544,24,1462.png,28,78,32,70,49,35,0.2056984454393387,#463123,Brown,,476.0,1462.png,0.0,S,,,235.0,
545,24,1462.png,28,62,40,87,54,34,0.2336098104715347,#573622,Brown,,477.0,1462.png,0.0,S,,,236.0,
546,25,1476.png,1,95,107,39,24,21,0.1057694107294083,#271815,Brown,,478.0,1476.png,0.0,S,,,237.0,
547,26,1483.png,1,3,173,78,58,50,0.2418556958436966,#4e3a32,Brown,,479.0,1483.png,0.0,S,,,238.0,
548,27,155.png,35,26,57,108,96,100,0.3876015543937683,#6c6064,Brown,,480.0,155.png,2.0,M,,201.0,,
549,27,155.png,35,35,70,117,99,86,0.3995595872402191,#756356,Brown,,481.0,155.png,2.0,M,,202.0,,
550,27,155.png,35,3,158,100,99,126,0.3967027366161346,#64637e,Blue,69.0,,155.png,,N,,,,69.0
551,27,155.png,35,67,48,132,116,129,0.4719109833240509,#847481,Brown,,482.0,155.png,1.0,W,42.0,,,
552,27,155.png,35,69,60,134,135,160,0.5356470942497253,#8687a0,Blue,70.0,,155.png,,N,,,,70.0
553,27,155.png,35,79,57,134,127,157,0.5123549103736877,#867f9d,Blue,71.0,,155.png,,N,,,,71.0
554,27,155.png,35,89,74,167,168,184,0.6625140905380249,#a7a8b8,Blue,72.0,,155.png,,N,,,,72.0
555,27,155.png,35,50,92,149,123,109,0.5000611543655396,#957b6d,Brown,,483.0,155.png,1.0,W,43.0,,,
556,27,155.png,35,42,114,117,109,133,0.440903514623642,#756d85,Blue,73.0,,155.png,,N,,,,73.0
557,27,155.png,35,53,121,131,103,89,0.4232964813709259,#836759,Brown,,484.0,155.png,2.0,M,,203.0,,
558,27,155.png,35,59,110,185,178,217,0.7148996591567993,#b9b2d9,Blue,74.0,,155.png,,N,,,,74.0
559,27,155.png,35,73,101,161,140,123,0.561712920665741,#a18c7b,Brown,,485.0,155.png,1.0,W,44.0,,,
560,27,155.png,35,90,103,103,75,59,0.3129270672798157,#674b3b,Brown,,486.0,155.png,2.0,M,,204.0,,
561,27,155.png,35,106,105,116,108,123,0.4344372451305389,#746c7b,Brown,,487.0,155.png,2.0,M,,205.0,,
562,27,155.png,35,99,124,171,169,183,0.668370246887207,#aba9b7,Blue,75.0,,155.png,,N,,,,75.0
563,27,155.png,35,115,132,154,152,170,0.6028345227241516,#9a98aa,Blue,76.0,,155.png,,N,,,,76.0
564,27,155.png,35,125,136,110,113,155,0.4525125622749329,#6e719b,Blue,77.0,,155.png,,N,,,,77.0
565,27,155.png,35,138,158,108,105,135,0.4227470755577087,#6c6987,Blue,78.0,,155.png,,N,,,,78.0
566,27,155.png,35,125,154,167,166,161,0.6504000425338745,#a7a6a1,Brown,,488.0,155.png,1.0,W,45.0,,,
567,27,155.png,35,185,196,47,33,33,0.1410784423351288,#2f2121,Brown,,489.0,155.png,0.0,S,,,239.0,
568,27,155.png,35,122,195,111,98,127,0.4033466875553131,#6f627f,Blue,79.0,,155.png,,N,,,,79.0
569,27,155.png,35,71,198,119,108,116,0.4349580407142639,#776c74,Blue,80.0,,155.png,,N,,,,80.0
570,27,155.png,35,74,181,158,148,171,0.5952286720275879,#9e94ab,Blue,81.0,,155.png,,N,,,,81.0
571,27,155.png,35,62,145,140,123,114,0.493974894285202,#8c7b72,Brown,,490.0,155.png,1.0,W,46.0,,,
572,27,155.png,35,72,144,85,84,126,0.3421204090118408,#55547e,Blue,82.0,,155.png,,N,,,,82.0
573,27,155.png,35,74,158,118,129,170,0.5083082318305969,#7681aa,Blue,83.0,,155.png,,N,,,,83.0
574,27,155.png,35,79,143,95,94,140,0.3824670612812042,#5f5e8c,Blue,84.0,,155.png,,N,,,,84.0
575,27,155.png,35,114,176,132,121,147,0.4910278618335724,#847993,Blue,85.0,,155.png,,N,,,,85.0
576,27,155.png,35,126,168,141,124,103,0.494503527879715,#8d7c67,Brown,,491.0,155.png,1.0,W,47.0,,,
577,27,155.png,35,129,178,111,95,97,0.3864478468894958,#6f5f61,Brown,,492.0,155.png,2.0,M,,206.0,,
578,27,155.png,35,101,167,134,127,153,0.5112239122390747,#867f99,Blue,86.0,,155.png,,N,,,,86.0
579,27,155.png,35,89,178,106,89,92,0.364034503698349,#6a595c,Brown,,493.0,155.png,2.0,M,,207.0,,
580,27,155.png,35,91,164,154,140,133,0.558707058429718,#9a8c85,Brown,,494.0,155.png,1.0,W,48.0,,,
581,27,155.png,35,107,148,142,129,139,0.5195431709289551,#8e818b,Brown,,495.0,155.png,1.0,W,49.0,,,
582,27,155.png,35,144,181,53,50,88,0.2093227505683899,#353258,Blue,87.0,,155.png,,N,,,,87.0
583,28,1580.png,7,60,19,140,135,157,0.5397988557815552,#8c879d,Blue,88.0,,1580.png,,N,,,,88.0
584,28,1580.png,7,136,31,121,112,142,0.4551980197429657,#79708e,Blue,89.0,,1580.png,,N,,,,89.0
585,28,1580.png,7,129,42,53,33,26,0.1440992206335068,#35211a,Brown,,496.0,1580.png,0.0,S,,,240.0,
586,28,1580.png,7,191,172,40,24,22,0.1068854853510857,#281816,Brown,,497.0,1580.png,0.0,S,,,241.0,
587,28,1580.png,7,36,2,73,44,31,0.1930400133132935,#492c1f,Brown,,498.0,1580.png,0.0,S,,,242.0,
588,28,1580.png,7,62,3,79,56,44,0.2353815585374832,#4f382c,Brown,,499.0,1580.png,0.0,S,,,243.0,
589,28,1580.png,7,111,7,73,49,36,0.208481177687645,#493124,Brown,,500.0,1580.png,0.0,S,,,244.0,
590,29,1595.png,13,7,10,29,26,23,0.1036125421524048,#1d1a17,Brown,,501.0,1595.png,0.0,S,,,245.0,
591,29,1595.png,13,72,33,32,23,21,0.0971305966377258,#201715,Brown,,502.0,1595.png,0.0,S,,,246.0,
592,29,1595.png,13,93,4,32,25,23,0.1033070608973503,#201917,Brown,,503.0,1595.png,0.0,S,,,247.0,
593,29,1595.png,13,91,18,88,78,85,0.3161949217319489,#584e55,Brown,,504.0,1595.png,2.0,M,,208.0,,
594,29,1595.png,13,129,26,89,75,83,0.308046281337738,#594b53,Brown,,505.0,1595.png,2.0,M,,209.0,,
595,29,1595.png,13,151,96,39,25,20,0.1082921624183655,#271914,Brown,,506.0,1595.png,0.0,S,,,248.0,
596,29,1595.png,13,133,126,26,24,18,0.0940878391265869,#1a1812,Brown,,507.0,1595.png,0.0,S,,,249.0,
597,29,1595.png,13,150,124,41,27,24,0.1167007833719254,#291b18,Brown,,508.0,1595.png,0.0,S,,,250.0,
598,29,1595.png,13,134,142,49,32,31,0.1393741220235825,#31201f,Brown,,509.0,1595.png,0.0,S,,,251.0,
599,29,1595.png,13,187,103,57,31,23,0.1409733295440674,#391f17,Brown,,510.0,1595.png,0.0,S,,,252.0,
600,29,1595.png,13,190,134,59,29,18,0.1356153041124344,#3b1d12,Brown,,511.0,1595.png,0.0,S,,,253.0,
601,29,1595.png,13,196,118,79,60,48,0.2477345168590546,#4f3c30,Brown,,512.0,1595.png,0.0,S,,,254.0,
602,29,1595.png,13,147,194,109,82,76,0.3423721492290497,#6d524c,Brown,,513.0,1595.png,2.0,M,,210.0,,
603,30,1606.png,72,32,97,150,146,158,0.5792753100395203,#96929e,Brown,,514.0,1606.png,1.0,W,50.0,,,
604,30,1606.png,72,39,120,132,131,168,0.5250204205513,#8483a8,Blue,90.0,,1606.png,,N,,,,90.0
605,30,1606.png,72,45,110,126,121,157,0.4888553023338318,#7e799d,Blue,91.0,,1606.png,,N,,,,91.0
606,30,1606.png,72,53,84,108,99,124,0.402803897857666,#6c637c,Blue,92.0,,1606.png,,N,,,,92.0
607,30,1606.png,72,54,98,120,119,131,0.4708929359912872,#787783,Blue,93.0,,1606.png,,N,,,,93.0
608,30,1606.png,72,63,92,118,107,135,0.4366913437843323,#766b87,Blue,94.0,,1606.png,,N,,,,94.0
609,30,1606.png,72,63,106,102,94,122,0.3832109868526459,#665e7a,Blue,95.0,,1606.png,,N,,,,95.0
610,30,1606.png,72,50,120,123,108,153,0.4487529695034027,#7b6c99,Blue,96.0,,1606.png,,N,,,,96.0
611,30,1606.png,72,39,138,107,103,143,0.4185647070407867,#6b678f,Blue,97.0,,1606.png,,N,,,,97.0
612,30,1606.png,72,40,151,111,116,149,0.4600658714771271,#6f7495,Blue,98.0,,1606.png,,N,,,,98.0
613,30,1606.png,72,54,146,124,119,166,0.4841223359107971,#7c77a6,Blue,99.0,,1606.png,,N,,,,99.0
614,30,1606.png,72,58,138,113,103,142,0.4232819676399231,#71678e,Blue,100.0,,1606.png,,N,,,,100.0
615,30,1606.png,72,82,101,151,147,172,0.5868725776672363,#9793ac,Blue,101.0,,1606.png,,N,,,,101.0
616,30,1606.png,72,83,115,129,130,162,0.5180184245109558,#8182a2,Blue,102.0,,1606.png,,N,,,,102.0
617,30,1606.png,72,74,126,128,117,150,0.4773207902908325,#807596,Blue,103.0,,1606.png,,N,,,,103.0
618,30,1606.png,72,74,137,123,114,152,0.4653031527996063,#7b7298,Blue,104.0,,1606.png,,N,,,,104.0
619,30,1606.png,72,72,149,101,102,137,0.4090627431869507,#656689,Blue,105.0,,1606.png,,N,,,,105.0
620,30,1606.png,72,74,159,84,80,127,0.330347865819931,#54507f,Blue,106.0,,1606.png,,N,,,,106.0
621,30,1606.png,72,73,169,82,81,117,0.3286592066287994,#525175,Blue,107.0,,1606.png,,N,,,,107.0
622,30,1606.png,72,64,157,121,118,160,0.4771203696727753,#7976a0,Blue,108.0,,1606.png,,N,,,,108.0
623,30,1606.png,72,60,167,117,114,154,0.460868626832962,#75729a,Blue,109.0,,1606.png,,N,,,,109.0
624,30,1606.png,72,86,151,111,96,145,0.4028250873088837,#6f6091,Blue,110.0,,1606.png,,N,,,,110.0
625,30,1606.png,72,92,128,127,126,161,0.5048470497131348,#7f7ea1,Blue,111.0,,1606.png,,N,,,,111.0
626,30,1606.png,72,86,137,122,124,161,0.4950693845748901,#7a7ca1,Blue,112.0,,1606.png,,N,,,,112.0
627,30,1606.png,72,101,115,91,88,130,0.3594733476638794,#5b5882,Blue,113.0,,1606.png,,N,,,,113.0
628,30,1606.png,72,96,85,157,143,177,0.5820643305778503,#9d8fb1,Blue,114.0,,1606.png,,N,,,,114.0
629,30,1606.png,72,95,94,139,130,152,0.5235243439674377,#8b8298,Blue,115.0,,1606.png,,N,,,,115.0
630,30,1606.png,72,119,73,109,110,147,0.4410007894039154,#6d6e93,Blue,116.0,,1606.png,,N,,,,116.0
631,30,1606.png,72,113,104,130,119,141,0.4820537567138672,#82778d,Blue,117.0,,1606.png,,N,,,,117.0
632,30,1606.png,72,141,90,144,142,165,0.5650326013565063,#908ea5,Blue,118.0,,1606.png,,N,,,,118.0
633,30,1606.png,72,151,103,149,156,182,0.6132827401161194,#959cb6,Blue,119.0,,1606.png,,N,,,,119.0
634,30,1606.png,72,163,101,94,82,126,0.3440093994140625,#5e527e,Blue,120.0,,1606.png,,N,,,,120.0
635,30,1606.png,72,161,116,108,102,138,0.4151788353919983,#6c668a,Blue,121.0,,1606.png,,N,,,,121.0
636,30,1606.png,72,179,108,105,106,147,0.4264455139636993,#696a93,Blue,122.0,,1606.png,,N,,,,122.0
637,30,1606.png,72,173,129,121,114,155,0.464484691619873,#79729b,Blue,123.0,,1606.png,,N,,,,123.0
638,30,1606.png,72,182,137,77,79,122,0.3202953040599823,#4d4f7a,Blue,124.0,,1606.png,,N,,,,124.0
639,30,1606.png,72,193,135,94,96,126,0.3832862675189972,#5e607e,Blue,125.0,,1606.png,,N,,,,125.0
640,30,1606.png,72,171,144,128,124,154,0.4980902075767517,#807c9a,Blue,126.0,,1606.png,,N,,,,126.0
641,30,1606.png,72,164,129,125,122,158,0.4911102056503296,#7d7a9e,Blue,127.0,,1606.png,,N,,,,127.0
642,30,1606.png,72,154,133,105,104,145,0.4202690124511719,#696891,Blue,128.0,,1606.png,,N,,,,128.0
643,30,1606.png,72,153,124,106,106,144,0.4264306128025055,#6a6a90,Blue,129.0,,1606.png,,N,,,,129.0
644,30,1606.png,72,143,133,154,145,164,0.5814996361732483,#9a91a4,Blue,130.0,,1606.png,,N,,,,130.0
645,30,1606.png,72,140,118,126,122,153,0.4905298054218292,#7e7a99,Blue,131.0,,1606.png,,N,,,,131.0
646,30,1606.png,72,130,126,128,123,149,0.4938709735870361,#807b95,Blue,132.0,,1606.png,,N,,,,132.0
647,30,1606.png,72,115,140,89,90,130,0.3634176850318909,#595a82,Blue,133.0,,1606.png,,N,,,,133.0
648,30,1606.png,72,107,129,120,116,149,0.4675658643245697,#787495,Blue,134.0,,1606.png,,N,,,,134.0
649,30,1606.png,72,102,139,129,123,159,0.4975317716598511,#817b9f,Blue,135.0,,1606.png,,N,,,,135.0
650,30,1606.png,72,114,151,141,146,168,0.5746027231216431,#8d92a8,Blue,136.0,,1606.png,,N,,,,136.0
651,30,1606.png,72,108,161,127,117,158,0.4787493944168091,#7f759e,Blue,137.0,,1606.png,,N,,,,137.0
652,30,1606.png,72,100,170,139,124,156,0.5078223347663879,#8b7c9c,Blue,138.0,,1606.png,,N,,,,138.0
653,30,1606.png,72,99,178,116,113,147,0.4552505910396576,#747193,Blue,139.0,,1606.png,,N,,,,139.0
654,30,1606.png,72,92,191,126,128,166,0.5110384225845337,#7e80a6,Blue,140.0,,1606.png,,N,,,,140.0
655,30,1606.png,72,147,179,133,123,153,0.4991686344146729,#857b99,Blue,141.0,,1606.png,,N,,,,141.0
656,30,1606.png,72,137,179,112,106,151,0.4334098100662231,#706a97,Blue,142.0,,1606.png,,N,,,,142.0
657,30,1606.png,72,149,189,130,131,158,0.5205262899398804,#82839e,Blue,143.0,,1606.png,,N,,,,143.0
658,30,1606.png,72,164,189,154,150,165,0.595809817314148,#9a96a5,Blue,144.0,,1606.png,,N,,,,144.0
659,30,1606.png,72,167,178,143,142,170,0.5656129717826843,#8f8eaa,Blue,145.0,,1606.png,,N,,,,145.0
660,30,1606.png,72,152,169,145,148,166,0.5829815864562988,#9194a6,Blue,146.0,,1606.png,,N,,,,146.0
661,30,1606.png,72,156,158,125,111,153,0.4588361084461212,#7d6f99,Blue,147.0,,1606.png,,N,,,,147.0
662,30,1606.png,72,143,152,107,103,145,0.4191302061080933,#6b6791,Blue,148.0,,1606.png,,N,,,,148.0
663,30,1606.png,72,142,163,116,114,152,0.4594697952270508,#747298,Blue,149.0,,1606.png,,N,,,,149.0
664,30,1606.png,72,130,159,116,111,156,0.4521843194961548,#746f9c,Blue,150.0,,1606.png,,N,,,,150.0
665,30,1606.png,72,133,144,122,119,158,0.4801937341690063,#7a779e,Blue,151.0,,1606.png,,N,,,,151.0
666,30,1606.png,72,160,146,127,123,151,0.4936031103134155,#7f7b97,Blue,152.0,,1606.png,,N,,,,152.0
667,30,1606.png,72,121,133,186,175,188,0.6991168856620789,#baafbc,Blue,153.0,,1606.png,,N,,,,153.0
668,30,1606.png,72,111,116,134,125,154,0.5058956742286682,#867d9a,Blue,154.0,,1606.png,,N,,,,154.0
669,30,1606.png,72,180,124,123,110,141,0.4509709477424622,#7b6e8d,Blue,155.0,,1606.png,,N,,,,155.0
670,30,1606.png,72,194,124,127,122,158,0.4927768707275391,#7f7a9e,Blue,156.0,,1606.png,,N,,,,156.0
671,30,1606.png,72,197,113,143,138,173,0.555239200592041,#8f8aad,Blue,157.0,,1606.png,,N,,,,157.0
672,30,1606.png,72,193,177,187,177,197,0.7081058621406555,#bbb1c5,Blue,158.0,,1606.png,,N,,,,158.0
673,30,1606.png,72,196,167,171,161,190,0.6479054689407349,#aba1be,Blue,159.0,,1606.png,,N,,,,159.0
674,30,1606.png,72,198,155,174,165,188,0.6610619425773621,#aea5bc,Blue,160.0,,1606.png,,N,,,,160.0
675,31,1610.png,47,148,10,64,41,37,0.1788199990987778,#402925,Brown,,515.0,1610.png,0.0,S,,,255.0,
676,31,1610.png,47,121,6,152,136,114,0.5404462814331055,#988872,Brown,,516.0,1610.png,1.0,W,51.0,,,
677,31,1610.png,47,103,15,136,102,70,0.4192855060100555,#886646,Brown,,517.0,1610.png,2.0,M,,211.0,,
678,31,1610.png,47,98,33,101,69,46,0.2907517552375793,#65452e,Brown,,518.0,1610.png,2.0,M,,212.0,,
679,31,1610.png,47,110,49,136,108,81,0.4392286241054535,#886c51,Brown,,519.0,1610.png,2.0,M,,213.0,,
680,31,1610.png,47,113,31,73,53,33,0.2188549041748047,#493521,Brown,,520.0,1610.png,0.0,S,,,256.0,
681,31,1610.png,47,117,19,95,61,40,0.2616113722324371,#5f3d28,Brown,,521.0,1610.png,0.0,S,,,257.0,
682,31,1610.png,47,129,24,95,52,36,0.2352309674024582,#5f3424,Brown,,522.0,1610.png,0.0,S,,,258.0,
683,31,1610.png,47,140,25,90,60,49,0.2571839094161987,#5a3c31,Brown,,523.0,1610.png,0.0,S,,,259.0,
684,31,1610.png,47,153,21,100,73,52,0.3028368651866913,#644934,Brown,,524.0,1610.png,2.0,M,,214.0,,
685,31,1610.png,47,187,2,100,75,54,0.3090133368968964,#644b36,Brown,,525.0,1610.png,2.0,M,,215.0,,
686,31,1610.png,47,198,10,154,141,143,0.5643400549888611,#9a8d8f,Brown,,526.0,1610.png,1.0,W,52.0,,,
687,31,1610.png,47,178,14,149,124,103,0.5011702179908752,#957c67,Brown,,527.0,1610.png,1.0,W,53.0,,,
688,31,1610.png,47,179,24,152,137,126,0.5466447472572327,#98897e,Brown,,528.0,1610.png,1.0,W,54.0,,,
689,31,1610.png,47,168,25,161,149,126,0.5878105759620667,#a1957e,Brown,,529.0,1610.png,1.0,W,55.0,,,
690,31,1610.png,47,178,36,123,92,66,0.3792662918567657,#7b5c42,Brown,,530.0,1610.png,2.0,M,,216.0,,
691,31,1610.png,47,161,36,94,57,45,0.2509698271751404,#5e392d,Brown,,531.0,1610.png,0.0,S,,,260.0,
692,31,1610.png,47,151,37,110,88,68,0.3577764630317688,#6e5844,Brown,,532.0,1610.png,2.0,M,,217.0,,
693,31,1610.png,47,131,35,72,51,27,0.210714116692543,#48331b,Brown,,533.0,1610.png,0.0,S,,,261.0,
694,31,1610.png,47,122,37,81,53,50,0.2303282469511032,#513532,Brown,,534.0,1610.png,0.0,S,,,262.0,
695,31,1610.png,47,131,43,86,56,42,0.240649402141571,#56382a,Brown,,535.0,1610.png,0.0,S,,,263.0,
696,31,1610.png,47,126,48,76,53,37,0.2224858999252319,#4c3525,Brown,,536.0,1610.png,0.0,S,,,264.0,
697,31,1610.png,47,114,59,78,48,34,0.2092768549919128,#4e3022,Brown,,537.0,1610.png,0.0,S,,,265.0,
698,31,1610.png,47,120,69,69,49,33,0.2042996138334274,#453121,Brown,,538.0,1610.png,0.0,S,,,266.0,
699,31,1610.png,47,147,56,94,65,46,0.2736964821815491,#5e412e,Brown,,539.0,1610.png,2.0,M,,218.0,,
700,31,1610.png,47,175,54,115,79,64,0.3355627655982971,#734f40,Brown,,540.0,1610.png,2.0,M,,219.0,,
701,31,1610.png,47,198,43,123,120,117,0.4722399711608887,#7b7875,Brown,,541.0,1610.png,1.0,W,56.0,,,
702,31,1610.png,47,199,58,139,133,140,0.5285478830337524,#8b858c,Blue,161.0,,1610.png,,N,,,,161.0
703,31,1610.png,47,191,55,134,127,130,0.5047208070755005,#867f82,Blue,162.0,,1610.png,,N,,,,162.0
704,31,1610.png,47,182,60,132,104,90,0.4272180497646332,#84685a,Brown,,542.0,1610.png,2.0,M,,220.0,,
705,31,1610.png,47,159,62,122,98,74,0.3975278437137604,#7a624a,Brown,,543.0,1610.png,2.0,M,,221.0,,
706,31,1610.png,47,143,67,110,71,46,0.3038627505302429,#6e472e,Brown,,544.0,1610.png,2.0,M,,222.0,,
707,31,1610.png,47,142,76,103,70,49,0.2960721552371979,#674631,Brown,,545.0,1610.png,2.0,M,,223.0,,
708,31,1610.png,47,128,80,97,74,51,0.3028596043586731,#614a33,Brown,,546.0,1610.png,2.0,M,,224.0,,
709,31,1610.png,47,139,88,86,55,40,0.2372784316539764,#563728,Brown,,547.0,1610.png,0.0,S,,,267.0,
710,31,1610.png,47,145,100,89,57,37,0.2445411831140518,#593925,Brown,,548.0,1610.png,0.0,S,,,268.0,
711,31,1610.png,47,156,73,88,66,44,0.2709364593029022,#58422c,Brown,,549.0,1610.png,2.0,M,,225.0,,
712,31,1610.png,47,156,83,86,63,54,0.2636807858943939,#563f36,Brown,,550.0,1610.png,0.0,S,,,269.0,
713,31,1610.png,47,167,76,111,86,63,0.3515850901603699,#6f563f,Brown,,551.0,1610.png,2.0,M,,226.0,,
714,31,1610.png,47,185,74,144,116,102,0.4742768704891205,#907466,Brown,,552.0,1610.png,1.0,W,57.0,,,
715,31,1610.png,47,186,89,86,63,46,0.2614188194274902,#563f2e,Brown,,553.0,1610.png,0.0,S,,,270.0,
716,31,1610.png,47,190,106,88,60,35,0.2515588104724884,#583c23,Brown,,554.0,1610.png,0.0,S,,,271.0,
717,31,1610.png,47,177,115,65,45,34,0.1900270730257034,#412d22,Brown,,555.0,1610.png,0.0,S,,,272.0,
718,31,1610.png,47,172,92,113,85,83,0.3561011850833893,#715553,Brown,,556.0,1610.png,2.0,M,,227.0,,
719,31,1610.png,47,168,100,128,107,82,0.4300392270088196,#806b52,Brown,,557.0,1610.png,2.0,M,,228.0,,
720,31,1610.png,47,160,96,109,83,63,0.3415019810199738,#6d533f,Brown,,558.0,1610.png,2.0,M,,229.0,,
721,31,1610.png,47,162,112,58,39,29,0.1659470498561859,#3a271d,Brown,,559.0,1610.png,0.0,S,,,273.0,
722,32,166.png,9,133,67,113,76,51,0.3218039274215698,#714c33,Brown,,560.0,166.png,2.0,M,,230.0,,
723,32,166.png,9,123,71,115,77,53,0.3268415927886963,#734d35,Brown,,561.0,166.png,2.0,M,,231.0,,
724,32,166.png,9,123,83,131,105,92,0.429755687713623,#83695c,Brown,,562.0,166.png,2.0,M,,232.0,,
725,32,166.png,9,119,98,101,72,44,0.2986027300357819,#65482c,Brown,,563.0,166.png,2.0,M,,233.0,,
726,32,166.png,9,121,110,86,52,47,0.2308411747217178,#56342f,Brown,,564.0,166.png,0.0,S,,,274.0,
727,32,166.png,9,108,125,131,129,158,0.5157486796379089,#83819e,Blue,163.0,,166.png,,N,,,,163.0
728,32,166.png,9,154,150,142,134,158,0.5389427542686462,#8e869e,Blue,164.0,,166.png,,N,,,,164.0
729,32,166.png,9,179,169,154,121,94,0.4943756759166718,#9a795e,Brown,,565.0,166.png,1.0,W,58.0,,,
730,32,166.png,9,147,42,182,170,205,0.6865627765655518,#b6aacd,Blue,165.0,,166.png,,N,,,,165.0
731,33,1700.png,20,34,239,58,42,40,0.1774737238883972,#3a2a28,Brown,,566.0,1700.png,0.0,S,,,275.0,
732,33,1700.png,20,32,180,114,92,86,0.3774211704730988,#725c56,Brown,,567.0,1700.png,2.0,M,,234.0,,
733,33,1700.png,20,44,221,141,129,142,0.5195580720901489,#8d818e,Brown,,568.0,1700.png,1.0,W,59.0,,,
734,33,1700.png,20,77,175,92,77,74,0.3136125504970551,#5c4d4a,Brown,,569.0,1700.png,2.0,M,,235.0,,
735,33,1700.png,20,77,196,143,130,126,0.5195062756538391,#8f827e,Brown,,570.0,1700.png,1.0,W,60.0,,,
736,33,1700.png,20,88,221,101,89,91,0.3595851063728333,#65595b,Brown,,571.0,1700.png,2.0,M,,236.0,,
737,33,1700.png,20,106,207,130,110,132,0.4542596042156219,#826e84,Brown,,572.0,1700.png,2.0,M,,237.0,,
738,33,1700.png,20,150,229,76,50,41,0.2152004092931747,#4c3229,Brown,,573.0,1700.png,0.0,S,,,276.0,
739,33,1700.png,20,157,255,89,62,51,0.2625270485877991,#593e33,Brown,,574.0,1700.png,0.0,S,,,277.0,
740,33,1700.png,20,132,180,157,156,181,0.6196666359901428,#9d9cb5,Blue,166.0,,1700.png,,N,,,,166.0
741,33,1700.png,20,88,255,121,100,83,0.40485018491745,#796453,Brown,,575.0,1700.png,2.0,M,,238.0,,
742,33,1700.png,20,106,247,102,86,82,0.3494572639465332,#665652,Brown,,576.0,1700.png,2.0,M,,239.0,,
743,33,1700.png,20,60,265,132,116,118,0.4688007831573486,#847476,Brown,,577.0,1700.png,1.0,W,61.0,,,
744,33,1700.png,20,21,294,138,127,137,0.510033369064331,#8a7f89,Brown,,578.0,1700.png,1.0,W,62.0,,,
745,33,1700.png,20,46,311,117,125,135,0.4863568544387817,#757d87,Blue,167.0,,1700.png,,N,,,,167.0
746,33,1700.png,20,69,346,91,70,65,0.290596067905426,#5b4641,Brown,,579.0,1700.png,2.0,M,,240.0,,
747,33,1700.png,20,99,308,112,103,106,0.412269800901413,#70676a,Brown,,580.0,1700.png,2.0,M,,241.0,,
748,33,1700.png,20,132,294,169,159,158,0.6315800547599792,#a99f9e,Brown,,581.0,1700.png,1.0,W,63.0,,,
749,33,1700.png,20,141,281,150,156,175,0.6121368408203125,#969caf,Blue,168.0,,1700.png,,N,,,,168.0
750,33,1700.png,20,232,286,120,120,130,0.4734156727790833,#787882,Brown,,582.0,1700.png,1.0,W,64.0,,,
751,34,171.png,65,191,1,101,95,117,0.3837694227695465,#655f75,Blue,169.0,,171.png,,N,,,,169.0
752,34,171.png,65,198,13,155,124,90,0.5024945139884949,#9b7c5a,Brown,,583.0,171.png,1.0,W,65.0,,,
753,34,171.png,65,165,14,83,76,107,0.3126376569271088,#534c6b,Blue,170.0,,171.png,,N,,,,170.0
754,34,171.png,65,144,14,69,79,90,0.3045808076858521,#454f5a,Blue,171.0,,171.png,,N,,,,171.0
755,34,171.png,65,152,17,100,100,130,0.4006392359733582,#646482,Blue,172.0,,171.png,,N,,,,172.0
756,34,171.png,65,150,23,102,107,148,0.4270337224006653,#666b94,Blue,173.0,,171.png,,N,,,,173.0
757,34,171.png,65,154,43,78,75,115,0.3079274594783783,#4e4b73,Blue,174.0,,171.png,,N,,,,174.0
758,34,171.png,65,158,46,111,105,137,0.4258125424385071,#6f6989,Blue,175.0,,171.png,,N,,,,175.0
759,34,171.png,65,180,61,119,121,159,0.4835874438285828,#77799f,Blue,176.0,,171.png,,N,,,,176.0
